study_hours,previous_score,attendance,extra_classes,assignments_submitted,parental_support,internet_usage,sleep_hours,exam_stress,final_score
6,81,69,1,3,2,1,4,5,80.6
3,79,50,1,7,3,5,8,4,72.1
2,37,57,1,3,0,5,5,5,36.4
1,30,72,0,8,3,1,7,8,51.099999999999994
6,37,52,0,3,0,5,5,8,44.400000000000006
5,58,53,0,5,2,2,7,6,71.1
9,34,74,1,6,1,5,7,1,81.8
1,76,96,1,5,3,5,8,8,72.7
7,63,87,1,8,0,1,5,8,83.3
5,94,64,1,3,2,4,5,2,87.8
5,84,70,0,9,0,5,4,4,88.6
2,72,84,0,8,0,5,5,2,72.0
3,59,95,1,7,0,4,4,4,76.1
7,46,63,1,5,2,1,6,7,73.80000000000001
6,55,85,1,5,1,4,6,9,69.5
2,37,61,0,4,1,1,6,8,43.6
6,76,66,0,3,1,2,9,9,73.2
2,75,88,0,7,0,1,5,8,74.4
2,97,58,1,9,2,2,9,2,90.2
2,62,84,1,5,0,2,5,7,55.5
3,30,62,0,5,1,1,4,2,51.099999999999994
2,48,64,1,7,1,3,9,2,61.900000000000006
4,60,67,0,8,2,1,9,4,76.1
9,43,82,1,8,0,5,9,1,96.3
6,82,55,0,3,3,5,7,5,81.30000000000001
1,77,76,1,4,3,3,4,6,64.1
8,98,72,0,5,1,2,6,9,95.8
7,91,76,0,4,2,3,4,8,91.2
3,95,83,0,8,0,5,7,2,91.9
1,93,95,0,8,0,3,5,1,86.2
5,99,87,0,6,1,1,4,2,100.0
4,92,63,0,9,1,3,9,7,83.7
8,62,85,1,3,0,2,6,4,90.3
1,70,57,1,6,0,1,6,5,62.599999999999994
1,77,84,1,9,1,4,5,7,73.0
4,42,68,0,6,0,5,4,3,57.69999999999999
8,60,79,0,6,3,5,7,2,96.2
5,97,63,1,3,1,3,5,7,79.7
2,33,69,0,3,0,1,4,5,39.400000000000006
6,48,98,0,7,1,4,8,1,86.6
5,99,74,0,4,2,1,6,1,99.3
2,42,89,0,4,1,5,7,9,46.5
3,52,73,0,7,1,1,9,5,73.69999999999999
9,30,63,1,7,2,4,7,1,84.4
7,83,75,1,8,3,3,9,7,99.7
7,44,87,1,9,0,2,7,9,77.2
6,94,72,1,6,2,1,6,1,100.0
8,44,71,1,7,1,2,9,4,90.4
4,50,97,0,5,0,5,4,3,65.6
8,48,68,0,4,2,3,9,5,81.1
4,89,95,0,7,0,3,5,7,85.6
8,62,52,0,5,0,1,4,8,75.39999999999999
9,78,91,1,5,2,3,5,2,100.0
3,64,68,1,5,0,1,7,7,62.5
3,73,58,1,8,3,1,4,1,83.6
2,40,77,0,8,2,2,7,7,55.599999999999994
3,95,69,1,5,3,3,8,8,81.2
3,75,94,0,9,1,1,7,2,96.7
5,38,56,1,8,0,2,7,9,60.5
5,32,63,1,6,1,4,5,1,62.69999999999999
2,55,58,0,5,1,2,9,6,53.900000000000006
6,77,68,0,6,0,2,8,1,95.69999999999999
5,95,96,1,6,2,1,7,3,100.0
6,99,63,1,5,0,5,7,6,80.5
1,57,87,0,4,1,5,8,3,57.900000000000006
5,55,85,1,9,1,5,8,8,74.0
9,54,89,1,5,2,2,4,5,94.8
2,41,66,0,5,0,1,5,2,52.2
1,34,79,1,8,1,3,8,4,53.8
9,77,58,0,5,3,2,8,9,89.19999999999999
9,66,82,1,4,1,2,6,4,90.5
9,73,74,0,8,1,1,9,8,95.9
6,44,63,1,3,2,4,8,5,66.0
8,72,60,0,3,3,2,5,1,94.8
1,77,84,1,6,1,4,9,7,70.0
4,99,90,0,9,1,4,9,3,100.0
1,75,63,1,6,3,5,7,8,63.400000000000006
8,72,79,1,4,0,1,7,3,90.0
1,50,90,1,7,0,4,7,1,69.5
3,52,53,1,9,1,1,7,5,63.69999999999999
4,76,53,1,3,1,5,6,2,69.80000000000001
8,44,77,1,6,0,1,8,4,87.7
6,54,57,1,3,2,2,7,1,72.2
7,65,51,1,4,3,4,4,9,65.3
8,80,90,1,4,3,1,7,6,100.0
2,44,95,0,7,2,3,8,8,59.099999999999994
8,97,71,0,7,2,1,7,4,100.0
3,50,90,1,8,2,4,6,9,61.5
7,42,65,0,9,2,5,5,2,79.3
3,48,78,1,4,2,5,5,9,55.099999999999994
7,63,98,1,6,2,4,8,5,93.1
2,97,97,0,3,3,2,5,6,79.4
6,81,79,1,5,2,2,5,3,89.6
3,56,61,1,7,0,5,4,4,56.7
3,58,84,0,5,2,5,8,6,66.4
9,57,60,0,6,2,4,8,7,83.3
7,64,95,1,7,3,2,5,1,100.0
5,37,99,0,5,3,5,5,7,66.5
7,45,70,0,9,2,2,5,1,91.5
9,65,70,1,6,3,5,9,5,96.0
1,59,54,0,3,1,1,6,6,46.3
7,47,97,0,9,3,3,7,2,97.39999999999999
6,31,69,1,6,3,1,6,9,63.099999999999994
9,78,86,0,8,3,5,8,6,100.0
1,33,52,0,7,3,3,4,7,44.800000000000004
4,36,93,1,4,0,3,7,8,56.3
9,68,82,1,3,0,5,4,1,94.3
4,42,58,1,9,0,5,9,8,64.19999999999999
3,60,58,0,9,2,2,8,4,74.4
9,92,53,1,5,2,5,9,8,97.70000000000002
2,85,84,1,7,1,4,8,6,78.7
4,71,66,0,4,0,5,4,9,61.7
6,90,83,1,6,2,4,4,4,90.9
2,71,73,1,4,3,5,4,2,68.80000000000001
8,85,81,1,7,3,2,8,2,100.0
8,65,50,1,7,0,4,5,5,75.5
1,97,57,0,8,1,1,4,9,70.9
3,36,94,1,8,1,4,9,3,71.6
9,83,72,1,4,3,2,7,8,92.3
5,30,96,0,6,1,4,8,4,76.3
6,73,89,1,4,0,5,9,6,82.9
4,74,61,0,7,3,5,6,6,78.4
2,76,61,0,7,2,2,6,3,76.2
8,42,95,0,5,2,3,7,5,81.8
6,51,96,1,8,1,5,5,3,84.2
5,50,64,0,5,3,1,4,1,70.2
9,38,90,0,3,3,2,8,7,79.2
1,55,68,0,7,2,4,9,4,64.4
5,38,75,1,5,3,4,4,7,57.7
6,44,78,1,4,3,1,9,3,76.0
5,39,71,1,8,3,5,8,5,74.9
6,71,89,1,8,1,2,6,5,91.10000000000001
6,53,70,1,6,3,1,4,2,79.7
7,78,87,1,4,0,5,7,2,90.3
4,55,69,1,6,1,2,5,4,68.2
8,66,78,0,5,3,4,7,4,88.30000000000001
7,97,53,0,9,3,2,5,4,97.20000000000002
9,79,56,0,3,0,3,9,6,84.39999999999999
7,53,77,0,4,1,2,4,2,80.8
3,48,77,1,4,2,3,4,6,52.3
3,89,53,0,4,2,2,5,7,63.0
8,68,71,0,6,1,3,6,3,93.5
5,47,61,0,5,3,4,8,8,58.599999999999994
4,48,94,0,4,3,5,7,2,75.9
8,65,52,1,9,2,3,9,8,86.6
6,84,71,1,4,2,3,7,5,90.4
2,98,93,1,8,2,4,7,2,94.1
4,76,51,0,3,0,3,9,7,65.2
4,78,73,1,8,2,1,9,2,96.1
6,62,83,0,8,0,4,4,6,80.69999999999999
6,50,76,1,3,1,1,7,3,78.8
1,51,90,1,9,3,4,8,9,62.400000000000006
8,77,50,1,5,2,3,8,3,91.3
6,66,57,1,8,3,1,5,3,89.5
3,44,72,1,5,3,3,9,5,67.2
9,64,87,0,8,2,4,4,7,93.2
2,61,55,1,7,2,3,8,8,54.900000000000006
8,40,71,0,3,1,1,6,7,71.3
3,39,74,0,8,0,1,4,9,53.3
5,86,67,0,7,0,3,4,5,77.0
6,54,66,0,6,3,2,8,3,85.4
6,31,61,0,7,2,4,6,6,67.7
4,93,55,1,4,1,4,5,5,75.7
3,64,75,1,8,1,3,8,4,72.6
4,36,76,1,7,1,2,6,2,72.7
1,47,57,1,5,1,1,4,7,44.9
4,96,68,0,6,1,5,6,5,80.80000000000001
1,71,91,1,9,0,5,4,4,71.7
1,68,50,1,8,0,3,8,8,58.2
6,70,78,0,4,0,2,9,9,78.9
5,53,94,0,9,2,2,8,9,82.9
4,89,98,1,7,3,4,7,3,96.0
3,75,84,1,9,1,1,7,3,83.2
1,48,89,0,9,2,2,7,5,68.4
6,97,63,1,6,1,5,8,5,87.7
2,71,84,1,9,0,1,5,2,80.60000000000001
8,61,97,1,9,2,1,8,1,100.0
5,68,94,1,8,0,3,9,8,83.4
7,65,69,0,6,1,2,6,3,83.7
2,65,98,0,4,1,3,8,1,79.4
8,32,62,0,7,3,2,8,1,82.39999999999999
2,37,87,1,6,1,4,4,2,56.400000000000006
4,99,98,1,6,0,3,4,6,93.0
1,70,95,1,3,1,3,4,6,55.0
5,97,98,1,6,3,5,8,3,100.0
9,42,57,1,3,3,3,5,4,71.39999999999999
1,78,92,0,7,0,2,6,2,80.8
9,89,69,1,9,2,5,6,2,100.0
8,31,82,1,8,1,3,9,7,81.0
6,89,75,0,8,3,3,5,1,100.0
7,34,88,1,7,1,4,5,7,71.0
3,73,70,0,7,1,3,6,1,82.2
1,56,98,0,5,2,1,7,6,67.8
5,61,91,0,9,3,5,4,3,85.7
2,50,92,0,7,1,1,4,8,61.099999999999994
5,37,90,0,6,3,5,6,6,71.3
8,79,58,1,8,0,4,5,2,93.0
9,96,73,0,4,0,3,9,8,97.30000000000001
2,73,86,0,8,1,3,7,5,74.0
3,87,98,1,3,3,3,6,8,80.7
3,32,90,1,8,1,5,4,8,60.3
1,99,66,0,5,3,3,8,6,76.9
8,31,73,1,9,3,1,5,2,90.8
6,73,70,1,7,2,3,8,8,88.2
8,31,88,0,9,2,4,9,6,83.8
9,64,90,0,7,2,1,6,6,100.0
5,59,88,1,8,1,3,4,8,77.5
3,37,62,0,4,2,3,7,1,57.9
5,51,60,0,4,2,2,8,2,75.4
5,73,95,1,5,0,5,7,9,73.2
5,87,68,0,3,3,1,9,8,79.7
3,65,60,0,8,3,2,4,7,63.0
4,98,62,0,7,2,4,8,7,84.3
9,60,95,0,8,3,5,9,5,100.0
9,76,94,0,5,0,1,7,2,100.0
2,84,50,1,6,0,3,7,6,59.599999999999994
8,91,89,1,6,2,1,8,3,100.0
8,59,93,0,5,0,3,4,4,91.5
7,84,68,1,7,3,5,7,2,100.0
8,45,61,0,9,1,3,6,2,88.8
3,41,57,0,5,3,4,9,8,51.0
6,46,57,0,7,1,3,8,8,63.0
1,45,94,0,4,2,4,5,6,55.2
7,41,61,0,5,1,5,5,5,64.7
1,37,97,1,7,0,5,4,8,45.900000000000006
9,32,82,1,5,3,1,6,4,89.89999999999999
1,45,94,0,5,1,4,7,4,62.7
1,59,75,1,9,3,4,5,5,64.1
7,52,88,0,9,2,2,4,1,94.69999999999999
2,34,77,1,7,2,2,9,1,70.2
5,94,54,0,7,0,2,6,2,84.8
8,59,57,1,3,2,3,6,8,71.7
8,50,74,0,5,1,2,4,7,75.2
3,99,76,0,6,2,4,4,9,78.9
7,51,95,1,5,0,3,7,5,82.4
3,61,72,1,5,3,5,4,2,71.5
6,62,79,0,7,3,1,7,7,89.5
6,45,94,1,5,2,2,7,8,72.2
3,67,96,0,8,1,5,8,7,80.6
7,43,72,1,5,0,4,6,7,65.3
3,65,98,1,8,1,1,9,5,83.4
8,52,96,0,9,0,5,6,2,92.6
4,95,69,1,6,2,1,6,6,80.7
1,31,67,1,7,0,2,8,4,45.5
4,94,67,0,5,0,4,7,2,86.7
7,96,51,1,8,2,1,7,9,95.2
4,81,53,0,8,1,5,4,7,69.3
6,91,79,0,9,2,2,8,6,100.0
9,52,82,0,8,0,2,4,5,94.89999999999999
1,55,85,0,4,2,5,8,3,58.0
5,97,67,0,3,0,5,4,4,74.9
7,84,86,1,6,2,1,5,3,100.0
1,35,68,0,9,3,3,6,8,54.900000000000006
4,64,96,0,9,3,2,6,3,92.4
6,51,77,1,5,2,1,9,7,74.0
2,72,89,1,4,1,5,7,7,59.5
5,44,69,1,5,0,1,9,7,61.8
1,89,98,0,5,3,5,5,7,68.0
6,41,82,0,7,1,4,9,2,86.5
6,78,61,0,7,0,5,6,3,88.0
4,71,64,1,7,3,5,7,9,73.60000000000001
8,67,90,0,4,3,5,5,3,97.8
4,74,88,1,5,2,3,6,2,87.0
8,64,51,0,3,0,5,4,9,65.4
8,59,78,1,6,1,2,8,9,82.0
5,59,90,0,7,1,2,5,4,85.1
4,35,59,0,7,1,1,7,9,51.7
2,96,51,0,9,0,3,9,3,77.2
3,36,60,1,5,1,1,9,7,57.400000000000006
3,81,62,1,5,1,2,5,7,64.0
4,43,59,0,4,1,2,7,8,54.400000000000006
4,44,63,0,4,2,4,5,4,53.5
5,50,67,0,7,2,5,7,3,76.6
4,64,58,1,5,0,2,9,3,72.5
8,95,88,0,3,0,1,6,5,97.9
6,31,77,0,6,1,1,4,1,73.5
6,64,52,0,5,2,5,6,3,78.7
8,49,69,0,9,3,5,4,6,79.8
7,39,55,1,5,3,4,9,3,73.1
8,54,76,1,8,1,3,6,5,84.4
2,95,51,0,4,1,1,6,9,57.3
9,54,78,0,9,2,5,5,2,100.0
1,83,87,1,6,2,1,8,2,77.3
8,62,52,1,7,2,5,9,6,85.39999999999999
4,65,65,0,9,0,2,7,6,76.5
4,43,79,1,5,0,1,9,8,60.900000000000006
5,94,89,1,7,1,2,7,2,97.8
8,83,51,0,5,0,1,7,9,80.0
5,81,66,1,7,2,3,4,2,89.2
8,32,90,1,6,2,4,7,1,90.3
1,70,61,0,4,0,2,7,2,60.3
9,35,84,0,6,3,5,5,7,85.2
6,54,92,1,8,1,3,6,8,84.7
3,42,50,0,3,3,1,9,5,57.8
8,37,94,1,4,1,2,9,6,80.5
9,50,64,0,6,3,1,7,1,91.2
6,97,75,1,8,0,1,8,6,94.30000000000001
7,54,86,0,3,1,1,9,8,82.9
1,97,70,1,8,1,4,7,3,78.80000000000001
5,74,98,1,5,1,4,4,1,85.0
5,89,80,1,5,2,5,4,4,85.6
4,41,74,0,7,2,2,4,1,73.10000000000001
6,61,72,0,4,3,3,7,8,69.5
7,42,73,1,5,0,3,5,5,71.19999999999999
9,60,87,1,9,2,3,8,1,100.0
1,49,77,0,8,1,1,7,8,57.2
6,47,70,0,4,2,4,5,9,63.3
7,89,92,0,9,0,2,5,2,100.0
3,92,67,0,5,2,1,9,9,76.4
8,35,85,0,7,1,4,7,8,76.0
5,61,84,0,6,3,4,7,7,79.60000000000001
9,72,94,1,7,1,2,5,3,100.0
5,31,58,0,9,0,2,5,2,70.8
9,89,87,1,3,3,2,5,7,100.0
4,52,79,0,5,2,1,9,5,78.0
9,60,93,0,9,2,5,7,6,100.0
5,34,83,1,3,2,2,5,4,63.5
9,63,81,1,3,3,5,4,2,93.0
3,39,52,0,8,1,1,7,9,50.2
4,31,52,1,4,3,5,9,3,52.0
9,40,77,1,8,3,3,4,7,85.1
6,79,93,1,5,0,5,6,8,80.5
2,60,64,1,3,3,2,7,2,62.7
7,85,90,0,9,2,1,6,6,100.0
2,38,72,1,6,1,2,5,8,47.3
2,50,89,0,3,1,3,9,7,60.7
1,57,60,0,9,1,2,5,3,63.8
3,91,97,0,6,2,2,9,1,100.0
6,36,81,0,8,2,2,8,6,79.7
8,45,85,1,8,2,4,5,8,85.5
9,33,82,1,4,2,3,6,6,78.8
7,33,73,0,9,2,2,9,5,85.6
4,69,88,0,3,3,2,5,8,68.5
6,46,83,0,7,2,2,7,2,90.30000000000001
5,81,77,0,8,2,1,9,1,100.0
8,81,86,1,8,2,4,9,1,100.0
1,65,56,0,4,2,1,5,4,55.8
1,67,53,1,6,1,4,8,6,50.2
6,79,86,0,4,2,2,5,9,84.9
2,92,50,0,3,3,3,6,1,67.80000000000001
5,92,50,0,9,3,5,6,1,89.80000000000001
1,91,96,0,5,3,5,9,5,81.19999999999999
7,36,69,1,5,0,2,9,5,68.6
1,56,68,1,9,1,1,5,5,66.8
4,43,78,1,6,2,3,6,6,67.6
9,34,59,0,8,0,4,6,8,73.3
1,84,67,0,6,2,2,8,3,75.2
4,31,77,1,8,0,3,7,9,59.0
6,91,84,1,8,0,3,8,1,100.0
6,50,92,0,5,3,4,4,4,84.1
8,50,96,0,6,3,3,8,9,91.8
1,39,80,1,4,0,1,5,8,46.6
7,87,76,0,8,3,1,7,9,99.60000000000001
1,68,60,0,7,0,1,5,1,68.7
7,34,98,1,7,1,3,4,9,78.0
3,94,98,0,4,3,1,7,3,90.0
8,42,87,1,7,3,4,9,9,81.89999999999999
3,82,54,0,3,3,3,6,1,68.0
1,74,57,1,8,1,5,8,1,68.7
8,61,83,0,4,0,3,5,9,75.80000000000001
3,65,97,1,6,2,4,4,6,69.1
2,89,61,1,8,3,5,6,4,80.4
1,40,87,1,4,0,3,8,7,45.599999999999994
3,92,50,1,5,1,1,6,5,74.80000000000001
2,50,80,0,6,2,2,8,7,62.5
2,81,53,0,5,3,2,9,8,64.8
6,84,98,1,8,1,1,7,8,93.5
1,55,94,0,6,1,2,6,1,68.2
2,97,99,0,7,2,2,6,8,82.5
6,63,54,0,4,0,1,6,6,64.4
3,81,79,0,8,3,1,7,4,87.6
4,81,73,0,3,3,3,4,8,69.8
1,58,52,1,6,0,3,8,3,51.300000000000004
8,67,60,1,6,0,1,9,4,87.8
7,71,94,1,9,0,4,6,6,95.60000000000001
7,50,53,1,8,2,2,7,7,75.4
3,71,75,0,8,2,3,4,4,79.9
3,42,76,0,5,3,2,8,4,65.1
2,93,95,1,9,2,5,7,7,84.2
1,46,92,0,7,1,1,9,6,60.5
7,38,76,0,5,3,4,9,8,73.5
7,70,91,1,9,2,5,8,1,100.0
2,30,99,0,5,0,5,6,7,46.2
7,31,55,1,7,1,5,9,7,66.9
8,89,64,1,9,0,1,4,7,94.3
1,77,79,0,9,3,3,7,7,77.5
9,58,91,0,3,0,1,4,8,82.5
7,39,86,1,5,2,3,6,9,73.9
3,87,86,1,5,2,5,4,9,71.10000000000001
